iter	Logloss
0	0.5984837793
1	0.5260764731
2	0.4723726757
3	0.4371179034
4	0.4038371181
5	0.3822644849
6	0.36107194
7	0.3470303045
8	0.3340508928
9	0.3251747352
10	0.3178152831
11	0.301134815
12	0.2936711032
13	0.2855602908
14	0.2745845421
15	0.2693154354
16	0.2642750186
17	0.2603654018
18	0.2554202986
19	0.2496527133
20	0.2461407732
21	0.2418288328
22	0.2393586928
23	0.2322341343
24	0.2298005595
25	0.2263249775
26	0.2199491063
27	0.2165061235
28	0.2139893562
29	0.2102512237
30	0.2073309276
31	0.2048502221
32	0.2024123798
33	0.2007389151
34	0.198893627
35	0.1967656833
36	0.1954811721
37	0.1938356957
38	0.1918988183
39	0.1898841639
40	0.1868022156
41	0.1849796651
42	0.1832228636
43	0.1815903339
44	0.1804310783
45	0.1786051511
46	0.1767321002
47	0.1748010005
48	0.1731351171
49	0.1717507819
50	0.1700550811
51	0.1689816754
52	0.1677309351
53	0.1663003212
54	0.1653997462
55	0.1641240739
56	0.162434117
57	0.1613097021
58	0.1600960685
59	0.1588763323
60	0.1575704153
61	0.1563217808
62	0.1552257997
63	0.1539286239
64	0.1530115212
65	0.1511154984
66	0.150204918
67	0.1492653488
68	0.1481365809
69	0.1467089774
70	0.1455745651
71	0.1442031131
72	0.1434225393
73	0.1421385956
74	0.1412132742
75	0.1389514365
76	0.1379874655
77	0.1373309341
78	0.1363705636
79	0.1355241651
80	0.134906275
81	0.134180687
82	0.1331209226
83	0.132195973
84	0.1313803694
85	0.1298683642
86	0.1289633991
87	0.1279100014
88	0.1271348226
89	0.1264913039
90	0.1257478289
91	0.1250652154
92	0.1245430223
93	0.1238737372
94	0.1227831368
95	0.1222647985
96	0.1213426684
97	0.1207382013
98	0.1198069338
99	0.1191252328
100	0.1183595296
101	0.1178800013
102	0.1167945946
103	0.116213579
104	0.1154798849
105	0.1150426617
106	0.1144257671
107	0.1136055179
108	0.1129192881
109	0.1122270038
110	0.1115884093
111	0.1111151006
112	0.1103677513
113	0.1096946079
114	0.108987889
115	0.108530995
116	0.1079992819
117	0.107326857
118	0.1069180882
119	0.1065929269
120	0.1061837087
121	0.1058091205
122	0.1053764099
123	0.1047838348
124	0.1043870818
125	0.1036711993
126	0.1030528756
127	0.1025163363
128	0.1020741156
129	0.1016850629
130	0.1012202878
131	0.1006620217
132	0.1002759561
133	0.09961135988
134	0.0991365071
135	0.09860984576
136	0.09797978103
137	0.09739905496
138	0.09665037102
139	0.09607681139
140	0.0957515557
141	0.09536656004
142	0.09471519349
143	0.09396980849
144	0.09333456387
145	0.09274700782
146	0.09215543655
147	0.09173689055
148	0.09115651335
149	0.09077883569
150	0.09027263867
151	0.08996519588
152	0.08947319082
153	0.08911282856
154	0.08858336512
155	0.08833666055
156	0.08786858832
157	0.08750793176
158	0.08727633222
159	0.0868906094
160	0.0866459578
161	0.08639891971
162	0.0860841528
163	0.08580602361
164	0.08542348621
165	0.0851981314
166	0.08457976758
167	0.08394936676
168	0.08350818436
169	0.08327166988
170	0.08301984106
171	0.08255813048
172	0.08193393492
173	0.08149684366
174	0.08103927745
175	0.08054384111
176	0.08028764638
177	0.08005602566
178	0.07967182256
179	0.07867015578
180	0.07817486553
181	0.07778160757
182	0.0775211073
183	0.07720440973
184	0.0768277037
185	0.07637933534
186	0.07585297683
187	0.0755985208
188	0.07530753514
189	0.07503108544
190	0.0747805846
191	0.07447825993
192	0.07418185817
193	0.07377277949
194	0.07360151113
195	0.07301766013
196	0.07245317752
197	0.07208356346
198	0.07182588147
199	0.07156398067
